x_min x_max val stat syst 
0.00 1.00 1.08316 0.00542235 0.00977466
1.00 2.00 1.09817 0.00374279 0.00468989
2.00 3.00 1.10509 0.00389179 0.00206231
3.00 4.00 1.07147 0.00449932 0.00389188
4.00 5.00 0.973513 0.00495468 0.00440403
5.00 7.00 0.931277 0.00444334 0.00476381
7.00 10.00 0.930907 0.00572467 0.00271247
10.00 20.00 0.996586 0.00837819 0.0130308
