x_min x_max val stat syst 
0.00 1.00 0.261455 0.0008344 0.000641912
1.00 2.00 0.250202 0.000589941 0.0006513
2.00 3.00 0.244132 0.000634173 0.000661686
3.00 4.00 0.253834 0.000801098 0.000668883
4.00 5.00 0.294758 0.00111077 0.000670582
5.00 7.00 0.360442 0.00126144 0.000970006
7.00 10.00 0.455924 0.00211078 0.00122747
10.00 20.00 0.541018 0.0037277 0.00241655
