x_min x_max val stat syst 
0.00 1.00 1.0919 0.00137986 0.0105948
1.00 2.00 1.10975 0.000953696 0.0133405
2.00 3.00 1.08938 0.000961358 0.0123216
3.00 4.00 1.02915 0.00106274 0.00801935
4.00 5.00 0.96341 0.00120381 0.00567421
5.00 7.00 0.930333 0.00109378 0.00488565
7.00 10.00 0.943345 0.00145427 0.00291796
10.00 20.00 0.976075 0.00209159 0.0139345
