x_min x_max val stat syst 
0.00 1.00 1.0824 0.00541304 0.0101158
1.00 2.00 1.09402 0.00371928 0.0046995
2.00 3.00 1.07568 0.00374408 0.0018817
3.00 4.00 1.02731 0.00420953 0.00390058
4.00 5.00 0.963102 0.00477695 0.00440724
5.00 7.00 0.930407 0.00434068 0.00464119
7.00 10.00 0.931724 0.00564073 0.00265542
10.00 20.00 0.999548 0.00831697 0.0128326
