x_min x_max val stat syst 
0.00 1.00 1.0824 0.00541304 0.00159816
1.00 2.00 1.09402 0.00371928 0.00176611
2.00 3.00 1.07568 0.00374408 0.00201157
3.00 4.00 1.02731 0.00420953 0.00157485
4.00 5.00 0.963102 0.00477695 0.00113796
5.00 7.00 0.930407 0.00434068 0.00237954
7.00 10.00 0.931724 0.00564073 0.00126273
10.00 20.00 0.999548 0.00831697 0.00691073
